house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
2;73423;245335;198094;72021B022
81;125511;212487;206466;72020A30-
21;65893;240025;189766;72041E112
61;134978;235732;208932;72003A223
1;134941;230359;209454;72003C00-
16;125531;214283;213570;72020A837
15;125550;217104;213438;72020A031
36;70178;235196;198812;72040D00-
28;118632;223875;211028;72029A020
10;118797;223744;211703;72029A000
237;125601;214032;214066;72020A837
400;63266;251045;206090;72018C012
6;129635;230677;216311;72037A0PA
3;131948;220169;202887;72038A012
1;65701;245461;192856;72041A001
5;138020;240063;201062;72004C012
131;65903;246267;191480;72041D080
37;125246;213829;207542;72020A391
29;137988;235658;204020;72004A112
53;65688;243256;190479;72041E07-
42;66389;221210;191657;72039A02-
7;66191;227996;190747;72039A311
9;63293;249477;202704;72018D032
14;70231;231052;199155;72040A00-
3;65712;245035;195537;72041B101
6;141485;229712;203054;72030C181
1;129562;232299;217146;72037A032
24;125705;216402;214758;72020A594
17;66255;221948;194437;72039B001
17;129710;226905;216753;72037B091
19;65745;244623;189213;72041E019
359;118820;222426;208748;72029A312
257;68448;237496;194411;71047A100
44;141545;222184;203112;72030D01-
13;141488;222254;203247;72030D01-
9;135039;234766;207787;72003A00-
22;65914;246754;191256;72041D000
82;65680;247477;190518;72041D01-
29;118793;222011;213827;72029A20-
79;121673;225186;213044;72025A01-
18;65781;246615;191321;72041D000
14;129586;226967;218808;72037B10-
39;125264;215317;214414;72020A044
2;141528;226376;202899;72030A042
27;70190;234780;196885;72040D012
205;125394;220163;214122;72020A792
10;129496;227138;218292;72037B10-
54;121778;223909;213665;72025A00-
152;63343;248168;204720;72018A09-
13;135061;232472;208328;72003A100
62;131861;222327;205279;72038B01-
12;125354;215518;214665;72020A052
95;125398;218013;214003;72020A100
4;125617;215794;213824;72020A001
32;134873;230445;210820;72003C091
14;66194;221662;191099;72039A112
39;141706;225236;203291;72030A032
22;125668;215146;213726;72020A044
38;135059;234969;207139;72003A00-
9;125255;216102;213035;72020A012
14;125425;219794;213405;72020A792
42;;221678;210361;72029A312
25;118799;222709;208645;72029A312
8;137984;235643;203764;72004A403
39;121658;228630;213664;72025B09-
39;65856;246550;196187;72041C012
7;65868;245088;189420;72041E019
35;66299;226525;191605;72039A353
62;132005;221903;206175;72038B00-
118;63236;246458;204495;72018A022
83;137975;234334;200597;72004A492
41;121639;223829;214849;72025A112
17;121817;225479;213475;72025A0BA
70;66203;221737;192067;72039A032
17;73233;249788;199111;72021A00-
10;131912;217007;205669;72038B262
6;131878;212753;205140;72038B39-
47;141667;223684;202983;72030D022
20;121858;225081;212942;72025A01-
18;125644;215900;213583;72020A001
47;73461;249492;200636;72021A042
99;125332;217469;215677;72020A500
43;66182;221774;192156;72039A032
40;125482;217261;213390;72020A031
12;134939;230540;210050;72003C00-
63;129648;232678;215993;72037A032
24;138130;235748;203909;72004A021
42;121791;224036;214102;72025A00-
10;;222873;213150;72029A210
63;125488;215970;213649;72020A001
62;63368;244680;204927;72018A01-
58;141592;227226;203025;72030A052
26;141597;226078;203131;72030A00-
107;73491;249498;200787;72021A042
10;125361;218908;214584;72020A701
3;131829;223116;205388;72038B08-
60;132021;219647;204103;72038B102
21;65823;244701;189438;72041E019
32;68453;237025;194640;71047A100
9;63172;245743;207585;72018B001
13;138189;240889;202236;72004B18-
28;68383;234834;192791;71047A010
29;68379;234375;192493;71047A010
7;66219;226826;191147;72039A333
914;65800;247016;196521;72041C012
3;;225386;212443;72025A01-
56;66275;222428;194466;72039B001
225;125590;216010;212282;72020A815
65;118700;222475;210599;72029A042
27;66172;226315;190799;72039A322
26;66297;227056;190963;72039A333
2;121708;229038;213255;72025B09-
3;121710;225500;214527;72025A022
31;135061;232606;208452;72003A100
56;121707;225342;210597;72025A202
32;70231;231160;199230;72040A00-
4;63144;251110;205594;72018C012
4;131828;222318;205577;72038B00-
39;138018;240735;202134;72004B18-
49;63163;246439;205570;72018A022
26;66153;220923;191117;72039A02-
31;125675;216272;213166;72020A012
8;68482;232706;191846;71047A212
54;137986;240657;202896;72004B00-
3;;229120;196333;72040A1PA
51;65928;243103;190436;72041E07-
12;125426;215145;212799;72020A826
35;121817;225520;213564;72025A0BA
142;66105;222358;191455;72039A112
7;63257;245213;207563;72018B001
2;118830;224304;213066;72029A03-
56;125475;217315;214457;72020A100
95;;235346;194567;71047A033
101;73493;244828;198594;72021B022
43;134978;235556;208872;72003A223
5;73292;243950;199974;72021B29-
22;129669;232109;215386;72037A01-
55;121784;224073;216452;72025A101
56;73218;242860;199470;72021B032
35;66195;221445;190527;72039A101
65;131996;220552;202266;72038A012
61;118684;223617;213094;72029A03-
29;73154;239959;196742;72021C012
13;66187;228481;191015;72039A311
28;;222599;210709;72029A042
39;125500;215811;215492;72020A520
202;121639;224597;215642;72025A101
16;132007;219481;204602;72038B102
30;137947;236950;203499;72004A043
6;73344;250611;200401;72021A101
16;125293;218762;215040;72020A712
5;63262;247172;208194;72018B091
14;73370;250777;199945;72021A173
27;118889;221949;209586;72029A312
47;129570;227104;218738;72037B10-
22;65754;245074;189955;72041E000
39;134882;233937;207911;72003A012
42;66390;220979;192230;72039A02-
9;138037;236512;205321;72004A612
252;138061;235595;201649;72004A504
57;121591;228224;212728;72025B00-
166;70291;233872;197384;72040D091
71;66319;220779;190944;72039A02-
21;70141;232864;201059;72040B012
6;66350;222070;194818;72039B001
19;73424;249775;199169;72021A00-
5;121788;227745;213726;72025B00-
35;138114;235440;202636;72004A504
17;125665;218625;214854;72020A712
189;118900;223890;212164;72029A000
2;131908;221488;204543;72038B091
92;129674;231571;216556;72037A032
20;141492;226054;202574;72030A021
19;63303;250114;202851;72018D001
78;66244;227337;190352;72039A322
2;138031;236017;204123;72004A00-
57;73379;242970;200197;72021B20-
7;;223959;213339;72029A03-
11;118884;223797;211590;72029A000
18;65768;245963;192564;72041A01-
8;138176;236530;204435;72004A032
55;66359;226732;191518;72039A353
32;134883;230295;209414;72003C00-
65;125312;219067;213559;72020A895
30;66288;222133;191284;72039A112
37;73409;240335;195902;72021C000
13;134963;229539;210013;72003C023
41;125466;218661;216836;72020A612
42;66188;220494;195127;72039B012
8;125326;219128;214955;72020A712
29;121619;225415;216991;72025A123
314;63343;247101;205898;72018B091
24;70130;231294;203611;72040C012
54;125445;218994;214201;72020A100
1;125627;214071;213440;72020A837
40;121727;224817;212180;72025A0AA
7;65903;245635;192982;72041A001
100;65680;248012;189970;72041D09-
28;;230526;199570;72040A01-
47;66356;219278;191335;72039A000
106;125590;216016;212986;72020A012
21;132009;221629;204975;72038B091
15;66107;220520;192595;72039A000
24;118660;222069;209452;72029A312
42;65705;247392;196077;72041C001
59;73336;249423;199366;72021A00-
41;125362;215784;210911;72020A200
3;66188;220996;195279;72039B012
21;66197;221551;190915;72039A112
19;141438;230138;205201;72030C091
248;73254;250226;202062;72018D001
2;66297;227299;191000;72039A333
14;134980;231936;208684;72003C091
7;134862;234550;207629;72003A00-
43;63148;250805;203607;72018D10-
2;66153;220629;190908;72039A02-
4;121663;227854;213261;72025B00-
45;68432;235157;192734;71047A010
14;137982;234655;200960;72004A492
48;66300;218044;192894;72039A291
34;63191;245548;207983;72018B091
52;66203;221779;191972;72039A032
38;125677;215748;213651;72020A001
7;129547;232217;215407;72037A01-
20;141525;226953;204206;72030A112
16;129531;232351;217371;72037A032
4;131938;220062;202604;72038A012
52;118648;223065;208455;72029A391
10;68388;231556;191797;71047A200
19;73409;240285;196087;72021C000
81;129648;232621;215777;72037A01-
37;66126;222036;190433;72039A101
28;138001;236432;204345;72004A011
81;65765;244201;194756;72041B11-
69;118760;224618;211250;72029A010
14;;234937;191428;71047A0AA
23;73425;239996;196670;72021C000
24;134884;234857;207717;72003A00-
74;66327;226293;190969;72039A322
26;66173;220921;194650;72039B012
41;63284;250534;205701;72018C09-
31;134963;229406;209816;72003C023
46;73173;242548;197654;72021B191
39;125523;217470;213859;72020A100
9;73155;243148;200428;72021B20-
434;68447;231586;191505;71047A200
26;73485;242909;198877;72021B032
10;138195;235347;204990;72004A100
60;137941;235262;201946;72004A504
91;66359;226845;191881;72039A353
11;125458;212425;206336;72020A30-
33;65727;247607;196278;72041C001
472;65800;245509;192961;72041A001
56;68495;237238;194534;71047A100
31;66081;221084;192526;72039A011
28;73327;243076;200225;72021B20-
70;134995;233964;209983;72003A212
127;125283;219731;216690;72020A60-
88;135043;229635;209630;72003C023
100;125428;220203;214381;72020A701
76;70166;231275;198693;72040A032
7;118784;222520;211145;72029A042
29;73456;249765;199082;72021A01-
51;65695;244833;193109;72041A001
56;65766;244593;194365;72041B11-
142;125419;215622;214450;72020A023
32;66204;221563;193200;72039A011
10;70158;231628;203548;72040C012
346;66247;224086;196185;72039B191
48;63333;244461;205459;72018A09-
74;129674;231726;216621;72037A032
31;66085;222254;197380;72039B062
27;138052;240852;202825;72004B090
102;125635;213925;208746;72020A323
21;141653;222533;202588;72030D00-
29;138187;238885;205723;72004A3PA
52;65762;244763;196035;72041B122
33;129691;231645;216509;72037A032
9;134931;230929;210014;72003C00-
48;125494;217816;214404;72020A100
15;70176;235386;198877;72040D00-
11;70182;232946;200120;72040B001
4;141567;224552;200598;72030A081
6;141709;225419;208164;72030B012
124;125525;216538;214584;72020A594
68;73474;238111;193708;72021C201
8;63320;250663;203700;72018D10-
46;63203;245975;204308;72018A001
121;65778;244403;192927;72041A001
273;73295;247976;202095;72021A091
3;141609;225386;199133;72030A20-
6;134878;231033;210086;72003C00-
611;66085;222186;197687;72039B062
7;73377;248375;199269;72021A322
187;63266;250492;203645;72018D10-
175;118667;220428;210924;72029A391
27;65733;243220;193197;72041A020
5;;223145;211348;72029A020
7;65946;243901;192974;72041A042
4;65812;246585;190932;72041D000
397;63236;245591;207764;72018B001
11;118676;223977;212343;72029A03-
29;;231937;199444;72040A032
7;66110;219739;191699;72039A000
81;137976;235798;205549;72004A182
11;121644;225341;213409;72025A01-
15;125587;217037;214218;72020A594
91;66108;226979;190862;72039A333
