house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
13;107021;32808;202390;38014B041
76;96172;30697;196284;38025A311
325;107073;26970;201445;38014A20-
2;107063;27030;201602;38014A21-
3;110542;29289;189162;38002D090
8;102997;25401;200694;38008A10-
30;102882;25336;200627;38008A10-
55;94483;35613;203970;38016A412
6;106648;28373;200069;38014A23-
58;102995;27631;198853;38008B091
27;96098;26435;190459;38025J00-
21;96210;30266;197135;38025A00-
39;96101;34468;196299;38025C09-
14;106724;27825;201845;38014A12-
4;102978;25157;199545;38008A02-
1;107194;31298;203020;38014B11-
25;106959;27378;201034;38014A21-
14;96135;30472;197729;38025A05-
13;96124;36091;197564;38025A19-
19;106926;27275;201659;38014A21-
19;94593;35800;204125;38016A412
16;106652;27308;199598;38014A23-
5;111276;32507;191082;38002A089
26;110528;27520;187600;38002C00-
71;94603;35706;204679;38016A42-
72;94603;35072;205429;38016A11-
32;102940;25352;199531;38008A02-
9;96016;35339;196487;38025C00-
42;102926;24557;199334;38008A052
22;95995;30869;196743;38025A030
533;106960;33972;204012;38014B262
27;106788;31677;203356;38014B11-
9;106796;31927;203827;38014B11-
2;110544;27021;180511;38002G11-
39;106934;26764;201173;38014A22-
1;106674;32131;203764;38014B11-
54;103008;25951;200784;38008A11-
7;96107;31191;197184;38025A030
40;107115;26894;200967;38014A22-
94;96172;30728;196144;38025A311
26;106937;29641;200901;38014A00-
19;107245;29961;201237;38014A00-
23;102907;25879;200239;38008A03-
27;96223;30984;195914;38025A311
46;102934;25763;197182;38008B01-
10;106877;27588;200548;38014A23-
38;94564;38347;200478;38016C09-
21;106647;27435;201224;38014A21-
1;106727;33534;204716;38014B21-
24;111314;33601;190463;38002A00-
12;110568;31307;185816;38002E00-
62;106745;29248;200841;38014A00-
7;107026;29672;200711;38014A00-
163;107073;27344;200767;38014A23-
307;107073;26997;201388;38014A20-
260;106960;33780;204127;38014B262
28;110548;27372;187553;38002C00-
28;106876;31791;203197;38014B11-
17;107214;28455;201937;38014A12-
18;96229;31450;197378;38025A10-
108;106916;27535;201974;38014A20-
11;106846;31338;201731;38014B02-
1;102936;25903;200743;38008A11-
43;107048;32559;202162;38014B01-
20;96221;30433;197028;38025A00-
100;103022;25784;200016;38008A03-
101;94591;37079;202983;38016A01-
28;94544;34359;205597;38016A10-
47;94507;34362;205082;38016A11-
7;95999;30352;197093;38025A00-
11;106871;30171;201575;38014A01-
323;106937;28561;202463;38014A10-
29;96232;31695;197892;38025A19-
39;107011;32745;203370;38014B03-
758;106960;34085;203982;38014B262
143;110528;29802;188648;38002D000
2;107215;27798;201991;38014A12-
4;94544;34733;205841;38016A10-
6;106716;29080;201909;38014A11-
244;106916;28168;202389;38014A10-
1;110513;29706;188476;38002D000
7;96051;30985;197415;38025A10-
135;106871;30298;201729;38014A01-
210;107162;28301;202256;38014A12-
30;102988;25692;197243;38008B032
23;110560;30891;186489;38002E09-
83;96063;30666;197279;38025A00-
90;94511;36868;203200;38016A02-
19;106898;28749;202527;38014A10-
64;107182;28157;202365;38014A10-
11;106840;31811;202801;38014B11-
8;106915;28752;201700;38014A12-
93;94530;36834;203699;38016A001
609;107202;33903;203277;38014B062
15;103052;26292;197891;38008B001
7;102942;24671;199491;38008A052
763;107202;34060;203162;38014B062
280;102922;26597;199774;38008A04-
2;107176;32052;204086;38014B11-
19;94572;36641;202984;38016A01-
147;107166;27187;201214;38014A21-
2;110528;27405;187452;38002C00-
232;94603;34118;205408;38016A10-
177;94603;34511;205618;38016A10-
385;106960;33976;203890;38014B262
99;110569;30788;181164;38002F09-
37;96236;31381;197492;38025A10-
9;103049;24567;199822;38008A052
72;94511;36915;203213;38016A02-
38;96226;28913;196897;38025A099
159;106960;33877;204089;38014B262
19;102915;25710;200543;38008A11-
4;106876;31578;203102;38014B11-
80;96159;31603;197541;38025A10-
32;96042;30343;197671;38025A05-
16;106894;27515;201029;38014A21-
9;94499;36688;203764;38016A001
11;106874;29124;202206;38014A11-
6;106931;28781;202085;38014A10-
45;94548;35521;204519;38016A412
2;96219;26520;192119;38025J09-
3;106768;33556;201028;38014B090
