house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
135;99740;103894;208740;43002B090
44;63946;111121;210259;43018A012
33;104574;98163;218394;43014E000
214;104401;84573;210416;43010A422
215;86616;92722;207838;43005A072
61;86716;94838;208243;43005A401
19;103588;83023;216234;43010B09-
2;99713;101893;209266;43002B000
129;63920;109590;210046;43018A101
18;99698;101551;213270;43002C000
123;104561;98236;220582;43014E090
35;86513;95232;208406;43005A401
16;96489;104843;216435;43002D091
6;100889;90648;214777;43014A00-
115;86687;93536;207785;43005A03-
48;63993;111452;210251;43018A012
42;99706;101808;216008;43002C29-
40;86503;94353;209246;43005A01-
9;86555;94766;208863;43005A401
40;97640;98466;209645;43007B00-
111;86600;94200;208877;43005A01-
100;104428;87325;206828;43010A19-
66;86528;91741;209438;43005A303
29;63880;111449;210146;43018A012
33;86664;94219;207619;43005A03-
27;104594;95490;219960;43014D00-
47;97671;97899;208333;43007B022
57;98843;95527;213683;43007A09-
7;96449;105022;216564;43002D00-
40;86556;93674;208177;43005A03-
1;95918;106839;212722;43002A032
6;100001;95726;215481;43014C10-
43;104595;97339;217739;43014E090
3;99681;105192;207783;43002B090
27;86701;94316;208085;43005A03-
54;99755;101404;213287;43002C000
16;95920;108969;213752;43002A09-
43;104351;86010;212634;43010A03-
18;63983;109383;209725;43018A142
113;99740;103079;209114;43002B000
23;95909;107128;212701;43002A032
62;86702;93790;208647;43005A00-
53;63902;109515;210685;43018A12-
58;104319;81194;211413;43010A212
49;97662;97604;208677;43007B022
76;86633;95057;207188;43005A292
18;86522;94800;209080;43005A401
26;63923;110849;210622;43018A033
196;63993;112748;210515;43018A081
40;63945;109184;210219;43018A12-
31;86695;94072;208595;43005A01-
3;63840;111255;209786;43018A044
2;95907;106668;213634;43002A001
33;86626;94197;208519;43005A01-
222;86716;95461;208179;43005A022
7;103103;88359;210953;43010C00-
4;86666;91911;208930;43005A303
8;104588;98072;218715;43014E000
135;86671;95413;209564;43005A081
52;100850;90843;215101;43014A00-
64;100002;97240;216114;43014C091
22;86547;92004;209819;43005A303
94;86567;93565;208390;43005A041
2;86553;92994;208511;43005A041
53;104401;85014;211197;43010A402
3;63988;109951;209664;43018A142
7;63913;111770;210404;43018A052
21;103576;82269;215514;43010B09-
17;103148;88361;210261;43010C00-
45;97666;99224;209007;43007B091
14;104346;85828;211411;43010A001
31;63924;110781;209919;43018A020
38;104581;96511;219816;43014D09-
5;63928;110035;209042;43018A111
10;99693;103091;214049;43002C090
4;104366;84451;210843;43010A422
72;99755;101319;213218;43002C000
5;63967;111838;210314;43018A052
247;63920;108976;210483;43018A12-
49;99750;97218;215660;43002C11-
34;86523;94336;208962;43005A01-
1;103108;88686;210907;43010C00-
26;100873;94572;214542;43014A09-
62;63946;111087;210338;43018A012
39;96485;103977;215750;43002D091
75;98843;95675;213943;43007A09-
66;98865;97133;212278;43007A001
7;95885;107705;213817;43002A001
28;104368;86176;208426;43010A101
111;86557;94617;208889;43005A401
36;99698;101572;213141;43002C000
52;103093;88355;210480;43010C00-
27;100848;90581;214873;43014A00-
47;104445;84667;208173;43010A19-
32;103126;90358;205627;43010C191
70;100850;90935;215070;43014A00-
3;104448;88034;214880;43010A39-
46;104592;97769;218043;43014E090
283;104312;81965;213118;43010A29-
7;63847;110001;209114;43018A111
19;104417;85648;211284;43010A001
36;104427;85399;208742;43010A112
9;103586;83437;216418;43010B00-
45;103189;87145;210259;43010A073
9;86681;94688;208985;43005A401
6;63839;108825;210412;43018A12-
1;63961;111919;209728;43018A044
15;99709;99281;214813;43002C090
39;86504;94077;208643;43005A01-
71;86697;93506;208866;43005A050
193;104357;85526;207211;43010A19-
29;63855;109992;209411;43018A142
16;104375;83756;211686;43010A413
131;99740;103185;209084;43002B000
26;86529;92019;209187;43005A303
15;95830;107160;213566;43002A001
101;86685;95401;208009;43005A022
1;86638;94935;207421;43005A03-
78;86507;90972;210468;43005A101
2;97653;98392;209592;43007B00-
52;104296;86949;210591;43010A021
29;104412;81400;212584;43010A29-
55;103173;88140;209809;43010C114
231;104429;84510;212404;43010A444
33;86712;92621;207982;43005A072
8;103139;88832;210881;43010C011
21;86496;91893;209675;43005A303
51;86526;94163;209301;43005A050
286;104429;83864;213339;43010A092
160;86507;90526;210756;43005A101
52;98867;96227;212133;43007A09-
10;104320;83164;211454;43010A413
16;103114;90133;205663;43010C191
53;104585;101915;219207;43014E090
1;104423;85009;209088;43010A19-
22;86605;94132;208034;43005A03-
16;63890;110848;210085;43018A020
61;104595;96980;217579;43014E090
6;103100;88476;210030;43010C10-
24;103117;89430;209977;43010C081
133;104357;85846;207953;43010A101
9;86720;90520;210965;43005A101
5;104412;81131;212158;43010A201
29;104411;84848;212171;43010A444
164;63880;112076;209580;43018A044
41;86661;94356;207933;43005A03-
44;100011;95744;215562;43014C10-
3;86497;96061;208363;43005A091
24;63971;109634;210569;43018A13-
5;103139;88798;210919;43010C011
167;86716;95680;208289;43005A401
38;104320;81959;211941;43010A201
47;104266;87344;213970;43010A39-
2;104590;97237;215742;43014E11-
54;99704;101806;209729;43002B090
5;99742;102513;209416;43002B000
5;63987;110657;210239;43018A020
5;98869;95637;212108;43007A09-
106;86635;95437;208526;43005A401
26;86553;93002;208588;43005A041
34;104329;85097;212400;43010A444
211;104287;85619;212294;43010A053
10;63869;111168;210391;43018A012
9;95849;107310;213583;43002A001
7;103118;90064;208654;43010C081
46;63843;110967;209824;43018A001
9;104347;85406;213210;43010A03-
255;86509;92235;208964;43005A303
72;103589;85256;215204;43010A30-
114;95878;107685;211570;43002A020
53;86697;93546;208795;43005A050
1;104306;86503;210736;43010A021
94;98853;97591;212138;43007A001
40;99742;102344;209268;43002B000
59;104447;85308;214339;43010A03-
34;99696;101315;208837;43002B000
40;63987;110839;210103;43018A020
301;86547;91334;210174;43005A172
52;95897;107172;213357;43002A001
43;86539;94617;208145;43005A022
30;63846;110055;210089;43018A101
9;104598;98315;218511;43014E000
15;104316;85774;208366;43010A101
36;99725;101437;213516;43002C000
115;104434;84873;211847;43010A430
124;99716;101552;214122;43002C000
37;86685;94825;208054;43005A022
2;63900;110668;209976;43018A020
15;86524;93611;207832;43005A03-
6;63972;110907;210900;43018A033
34;104375;83472;212054;43010A092
17;99999;96505;215934;43014C091
7;86675;91937;209715;43005A303
2;103105;90075;210676;43010C052
13;104341;85027;211533;43010A430
25;103108;88747;211229;43010C040
14;86591;94644;209044;43005A401
175;104357;85836;207349;43010A19-
51;86679;92584;208776;43005A041
61;104413;85122;210399;43010A021
38;104280;84802;210602;43010A422
58;86567;93589;208487;43005A041
3;104318;84948;211928;43010A430
2;104298;82302;206774;43010A19-
3;86701;94496;208053;43005A03-
3;96487;104671;216663;43002D00-
12;63846;110092;210002;43018A101
132;86507;90632;210682;43005A101
50;86605;94118;207911;43005A03-
29;86503;94369;209269;43005A01-
29;97640;98423;209685;43007B00-
31;104360;86163;210520;43010A021
29;86556;93714;208091;43005A03-
41;104410;84973;210548;43010A021
16;104426;84882;210339;43010A021
40;63954;109977;210167;43018A101
9;104281;85519;211474;43010A001
10;104556;99092;219869;43014E090
11;104444;81214;210276;43010A29-
16;95839;106399;212471;43002A032
268;104429;84388;212932;43010A092
13;86634;94909;208376;43005A401
33;104270;85386;210646;43010A021
5;99707;102499;212905;43002C090
70;98867;96073;212100;43007A09-
5;95833;105914;209587;43002A080
4;63991;111088;209381;43018A044
93;98843;95744;214176;43007A09-
29;99742;102431;209296;43002B000
17;103098;87967;211013;43010C03-
2;86691;93890;208706;43005A01-
70;63873;111550;209712;43018A044
12;63895;113714;210854;43018A081
37;104602;98442;218784;43014E000
23;100875;90748;214893;43014A00-
32;104346;86002;211469;43010A001
15;86712;92666;207978;43005A072
6;95854;107476;213419;43002A001
13;86509;93264;208775;43005A041
34;104313;87428;211116;43010A01-
234;104401;84352;210214;43010A08-
81;86651;93411;208701;43005A041
25;104324;81269;211571;43010A201
4;96454;104723;216912;43002D00-
22;63853;110062;209473;43018A142
232;104401;84318;210005;43010A08-
233;86616;92632;207677;43005A072
48;97648;97958;208248;43007B022
2;95896;107754;210746;43002A020
52;104320;81610;211971;43010A201
22;104411;84826;212120;43010A430
130;104293;86537;211089;43010A01-
37;104259;85251;211412;43010A430
14;95867;106384;211161;43002A080
3;63975;110157;209646;43018A142
138;104273;80882;212045;43010A201
215;104429;84572;212240;43010A430
33;104564;95519;220411;43014D00-
202;86509;92444;209006;43005A31-
17;103180;90288;206433;43010C191
9;95844;106178;212480;43002A032
23;103138;88727;211554;43010C040
9;86629;93053;208465;43005A041
56;95872;108600;212853;43002A01-
39;104338;85148;212135;43010A444
76;86567;93575;208443;43005A041
6;86567;93637;208620;43005A041
33;95830;106937;213612;43002A001
64;100857;90900;214466;43014A00-
9;63916;110011;209090;43018A111
21;104267;85810;211114;43010A001
13;103186;89913;210261;43010C081
16;95915;107864;211107;43002A020
58;104409;85391;211021;43010A001
127;104365;84084;210253;43010A08-
247;104247;82832;211238;43010A29-
52;63971;109469;210444;43018A13-
44;104434;85179;211530;43010A430
15;104366;84438;210895;43010A422
180;86701;93612;208363;43005A03-
1;104294;82829;208608;43010A08-
18;63939;109778;209253;43018A111
90;86616;93025;208355;43005A041
18;99725;101460;213459;43002C000
3;;110714;210421;43018A020
11;99690;103047;211052;43002B090
1;104324;81253;211952;43010A201
73;104428;87445;206109;43010A19-
40;63855;109996;209443;43018A142
2;86669;94964;209367;43005A401
2;86672;91997;210649;43005A081
45;99749;103146;214773;43002C090
5;63945;109251;210318;43018A12-
31;98865;97359;212345;43007A001
52;86578;93733;208398;43005A03-
84;63924;110556;209922;43018A020
23;86633;94764;207755;43005A03-
51;96490;103824;216550;43002D00-
52;99695;102977;210684;43002B090
17;86651;93681;208642;43005A00-
24;97640;98470;209715;43007B00-
6;86562;92096;209095;43005A303
54;104308;85699;213579;43010A03-
11;104592;98130;218611;43014E000
31;86661;94358;207960;43005A03-
72;97653;98331;208979;43007B00-
94;104409;85297;210988;43010A001
14;99750;98806;215865;43002C29-
1;97673;100083;211930;43007B091
48;99698;101614;212789;43002C090
87;99993;95730;215975;43014C10-
7;96483;102424;216243;43002D082
10;86572;90544;210626;43005A101
19;104387;86269;210127;43010A021
25;95878;107354;212875;43002A001
11;104276;85520;211168;43010A001
58;100889;91553;214562;43014A00-
196;104429;84550;212182;43010A430
92;103166;91874;207011;43010C191
17;104248;85144;210970;43010A001
18;63981;111158;210885;43018A033
57;86547;92732;209341;43005A31-
44;86693;94093;209473;43005A412
139;86716;95420;208208;43005A401
67;96485;103764;215425;43002D091
56;104427;85231;208736;43010A112
1;95878;107060;213238;43002A001
65;98848;96806;211927;43007A001
6;86532;93775;208682;43005A00-
9;103161;89837;210597;43010C052
21;104283;86309;210994;43010A01-
92;96478;104581;217290;43002D00-
29;86499;95249;207844;43005A022
8;104354;87081;211384;43010A091
73;86701;94179;208102;43005A03-
10;104275;84932;212294;43010A444
6;104410;85127;210710;43010A021
61;103140;89582;210163;43010C081
5;63954;109824;209964;43018A101
19;96463;104528;216668;43002D00-
36;63981;111531;210969;43018A312
301;104391;81148;211079;43010A212
8;104358;85505;208066;43010A112
59;63913;111929;210473;43018A052
49;95916;105147;210692;43002A080
112;104293;86401;211111;43010A01-
17;104372;85428;210857;43010A001
36;104592;98005;218483;43014E000
5;86589;93799;208991;43005A050
7;95912;105484;210828;43002A080
4;104577;96815;217613;43014D09-
79;104434;84989;211722;43010A430
22;86505;93647;207763;43005A03-
11;63964;110762;209879;43018A020
31;86509;93219;208799;43005A041
110;103166;91928;207020;43010C191
3;63877;110134;211389;43018A19-
64;104400;86305;212092;43010A091
6;95834;106739;212587;43002A032
5;63855;110174;209448;43018A142
8;103191;89912;206808;43010C081
29;63921;111191;210521;43018A012
60;103103;88427;211451;43010C040
64;86671;95067;209477;43005A401
5;99724;101901;213940;43002C000
5;104249;84742;211200;43010A402
59;99740;102765;209192;43002B000
51;63920;110022;209858;43018A101
4;;88703;215196;43014A08-
110;95872;109094;213048;43002A01-
16;103146;89337;208628;43010C081
6;104423;84831;207488;43010A19-
14;96450;104662;218139;43002D082
25;98841;96914;215441;43007A10-
24;86521;94722;207984;43005A022
146;86557;94638;208528;43005A01-
90;86565;94328;208297;43005A00-
267;86509;92000;208988;43005A303
14;103595;83435;215349;43010B09-
13;96455;103842;216436;43002D00-
19;86560;95614;210619;43005A081
160;103139;90201;210979;43010C022
7;86662;91842;208845;43005A303
4;103577;81675;217154;43010B09-
6;100865;91264;215000;43014A00-
8;86539;94570;208218;43005A022
147;104357;85840;207703;43010A101
24;63875;111075;209931;43018A001
24;86534;91417;209622;43005A303
2;104557;97014;218548;43014E090
27;63988;110002;209602;43018A142
7;63865;109943;210536;43018A13-
15;97655;99990;210983;43007B091
42;103126;90345;205507;43010C191
2;63966;111548;209806;43018A012
2;103140;89109;210873;43010C011
4;86723;93956;208436;43005A03-
5;99687;103824;211688;43002C090
34;63946;111168;210248;43018A012
7;103158;88907;210848;43010C011
14;86494;91635;208915;43005A303
36;63892;111061;209450;43018A044
7;99685;100680;214782;43002C090
124;104401;84950;210992;43010A402
125;86616;93044;208332;43005A041
32;104432;84744;212226;43010A430
4;63986;109646;210391;43018A13-
50;104287;85589;211638;43010A053
2;86563;93767;208469;43005A03-
287;104370;85630;212744;43010A03-
41;100865;91599;215190;43014A00-
52;104245;85646;211415;43010A001
5;95850;106901;213013;43002A001
43;86664;94196;207627;43005A03-
9;97640;98594;209734;43007B00-
2;100893;89732;215059;43014A09-
79;86687;93543;207931;43005A03-
5;86677;94327;209060;43005A01-
87;104561;98128;219373;43014E000
55;97645;97467;209936;43007B091
77;86521;94956;207803;43005A022
4;99729;100584;211086;43002C090
33;104252;86494;211642;43010A091
111;98843;96243;215043;43007A10-
283;63920;108759;210544;43018A12-
205;86523;94834;209427;43005A01-
22;86729;94222;207689;43005A03-
3;104334;83993;210273;43010A08-
107;63993;111732;210491;43018A012
14;63980;109531;209867;43018A142
80;86693;93887;209515;43005A412
85;101407;92565;219397;43014B00-
3;63881;111442;209485;43018A044
33;104359;86942;210660;43010A021
8;95879;106396;212876;43002A001
5;95876;106804;212602;43002A032
4;86525;93807;209114;43005A050
9;86565;93981;208514;43005A00-
72;86565;94241;208341;43005A00-
6;95905;106420;210871;43002A080
43;86626;94194;208546;43005A01-
28;63962;111488;210558;43018A012
16;97693;96733;210679;43007B091
9;98861;97023;212092;43007A001
98;103151;88628;210833;43010C00-
11;104356;85893;212311;43010A091
44;100877;95591;213888;43014A09-
97;63946;110980;210499;43018A033
35;86587;91666;209807;43005A303
48;99731;102136;213781;43002C000
52;63865;109774;210611;43018A13-
12;99679;102620;213407;43002C090
5;95836;106298;212372;43002A032
28;63953;109986;210346;43018A13-
29;63954;109867;210035;43018A101
5;63860;111779;210076;43018A052
11;63857;109020;210603;43018A12-
10;86579;94902;209164;43005A401
62;86523;94416;209036;43005A01-
108;104259;84995;211308;43010A402
24;63922;109469;210017;43018A142
18;104428;86254;208516;43010A101
27;104334;83700;210529;43010A08-
15;104325;84945;211158;43010A402
147;98853;97518;212206;43007A001
44;86523;94365;208982;43005A01-
5;98851;96442;212561;43007A09-
17;63950;110491;209997;43018A020
28;86723;93912;208376;43005A03-
29;63945;109215;210199;43018A12-
51;103147;88853;209654;43010C10-
23;98854;98064;212574;43007A001
93;86605;94128;207723;43005A03-
49;96485;103922;215624;43002D091
4;86671;94314;209399;43005A01-
18;63849;110198;209713;43018A142
30;103588;82377;216053;43010B09-
12;97643;98457;208216;43007B022
78;86716;94668;208242;43005A022
14;95916;105176;210579;43002A080
23;97644;98576;208411;43007B022
28;103166;91091;206169;43010C191
65;98844;97598;212784;43007A012
345;86509;91171;209174;43005A303
4;63887;109870;209118;43018A111
54;104400;86229;212144;43010A091
91;86541;96166;207438;43005A091
24;95913;106968;213071;43002A001
43;86507;90856;210502;43005A101
38;104372;84397;211134;43010A413
42;101407;92640;219331;43014B00-
57;95880;107700;213745;43002A001
30;99742;102408;209312;43002B000
123;86693;93696;209516;43005A050
12;98851;96371;212611;43007A09-
24;63864;109592;210450;43018A13-
63;104400;86152;211851;43010A053
31;86659;94926;207834;43005A022
26;96491;105536;214898;43002D091
2;104281;85532;211543;43010A053
19;63938;110682;210268;43018A020
3;86676;91376;210049;43005A172
10;103098;87996;211077;43010C03-
7;104264;80927;212436;43010A201
45;101411;92273;219174;43014B00-
41;104319;81170;211265;43010A212
60;97662;97712;208632;43007B022
2;104245;85472;211448;43010A053
12;95858;106717;213187;43002A001
21;104581;95781;220058;43014D00-
2;86681;94608;208943;43005A401
22;96485;104253;216335;43002D00-
79;86702;93786;208608;43005A00-
81;99716;101662;213913;43002C000
3;63919;111908;210207;43018A052
42;86631;93695;208552;43005A03-
164;104293;87246;210977;43010A01-
86;104357;86030;208524;43010A101
16;99695;102576;209973;43002B090
4;104307;83363;206699;43010A19-
44;99696;101200;208839;43002B090
71;95878;107677;212579;43002A01-
74;63951;110099;210384;43018A13-
9;86529;92188;209217;43005A303
128;86557;94631;208589;43005A01-
5;63846;109991;210020;43018A101
31;99696;101552;208885;43002B000
2;97648;97193;208322;43007B022
15;104289;84786;212940;43010A092
16;86696;90904;210402;43005A101
3;86623;94199;207576;43005A03-
18;63943;111630;210710;43018A012
21;86705;93269;211841;43005A081
11;86522;94825;209159;43005A401
76;86532;93921;208892;43005A00-
3;95882;107725;210862;43002A020
166;86521;95118;207752;43005A022
2;86687;93542;208369;43005A041
41;86633;94817;207700;43005A03-
63;97671;97619;207832;43007B113
10;63940;111698;210590;43018A012
11;63983;109321;209730;43018A142
94;86661;94318;207802;43005A03-
25;95853;107434;213380;43002A001
58;86532;93888;208844;43005A00-
7;104332;83869;209759;43010A08-
31;100872;92336;215305;43014A09-
102;86509;92947;208960;43005A31-
137;98853;97523;212153;43007A001
