house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
4;93176;56996;192066;32011A052
5;93112;54074;190728;32011B01-
45;89213;47224;191663;32003A19-
81;89266;44550;191245;32003A021
38;108353;51476;195711;32010B00-
15;101302;51072;186957;32006A022
2;93049;50972;190001;32011D091
33;89365;48113;191104;32003A19-
1;93122;53889;189370;32011B082
54;93117;51340;190356;32011D00-
70;101326;49177;186225;32006D10-
18;101270;45742;182639;32006B081
30;108317;52110;198606;32010A032
34;93124;56571;192160;32011A052
2;108345;51424;201961;32010A21-
17;89140;43391;188724;32003F091
57;108319;52329;198607;32010A001
15;108405;52239;198765;32010A032
7;93184;56541;193128;32011A03-
157;89384;46590;191828;32003A12-
7;89249;44492;192808;32003A001
86;108361;49844;198520;32010A10-
19;89279;44155;192232;32003A03-
100;89363;44531;192019;32003A021
68;93071;56763;192661;32011A052
16;101303;47033;187083;32006C082
21;89357;39598;196981;32003M00-
3;108358;53587;200595;32010A0PA
140;93080;54556;189900;32011B082
2;93200;53305;191949;32011B091
3;108436;50206;198709;32010A10-
15;89365;47876;191352;32003A11-
95;101323;47227;185768;32006C10-
48;93118;54868;190967;32011B01-
11;93173;51772;189703;32011D01-
108;93108;55685;191788;32011A013
18;93171;54497;191740;32011B00-
2;108330;51816;200600;32010A0PA
34;93198;58066;189277;32011A08-
12;108317;52210;198634;32010A032
72;93125;53192;194085;32011C09-
5;89222;45135;192281;32003A01-
23;101341;43184;184078;32006B00-
11;101266;44132;183009;32006B00-
5;93130;56912;191650;32011A001
61;89309;44886;192026;32003A021
33;101235;43755;183790;32006B00-
46;89264;40076;197410;32003M00-
23;89338;44457;188371;32003F091
11;89286;44517;192738;32003A001
80;93194;57191;192287;32011A052
26;101863;38408;184467;32030C182
2;101858;34194;187043;32030B09-
7;101283;50944;186827;32006A022
40;101249;49804;186546;32006A01-
23;89376;44700;191292;32003A312
28;89187;48026;194086;32003E00-
91;93100;57274;190614;32011A02-
54;108381;52975;198143;32010A010
2;93066;57321;190496;32011A02-
10;93192;57603;191814;32011A110
56;89302;47518;191606;32003A11-
175;89384;46711;191844;32003A12-
25;101358;47596;187855;32006D00-
3;108396;51243;194553;32010B091
10;93133;54683;191609;32011B00-
3;93134;54216;191569;32011B00-
20;101274;47732;187977;32006D00-
68;108442;52044;198827;32010A0MA
14;93191;56648;191692;32011A052
7;89233;44762;191263;32003A312
34;93093;58193;191130;32011A10-
30;93086;52419;188049;32011D091
8;101876;34999;185698;32030B00-
1;93056;55978;193304;32011A03-
175;89413;46257;198716;32003C08-
28;89241;44489;192472;32003A001
1;89155;48285;198396;32003E09-
114;108411;51815;198424;32010A020
90;93117;51560;190142;32011D00-
9;101268;47951;188480;32006D00-
