house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
59;106318;82325;174881;34040A322
15;104975;79232;165471;34042D313
64;97119;71558;162678;34022F012
6;106635;77319;173803;34040B000
145;97041;69508;166255;34022D03-
31;105518;77003;166624;34042A031
1;81446;66376;164295;34027B0PA
16;97019;72098;162276;34022F001
274;95051;71652;170968;34022B30-
4;81492;67765;166059;34027B0QN
27;94833;72388;169008;34022A00-
128;81568;66018;161990;34027C101
65;108508;66314;166780;34041A052
187;106579;77966;174199;34040B000
58;100488;75105;175617;34013C091
24;81651;66565;165692;34027B001
64;106389;84055;176187;34040A001
43;81438;67019;166032;34027B001
22;81656;65086;162842;34027C02-
4;105597;76957;167352;34042A00-
17;95091;71615;168415;34022A352
97;110712;80932;169858;34002F02-
83;106491;84920;175558;34040A012
14;96995;75450;163071;34022G09-
43;108536;66614;167338;34041A001
1;105506;77382;165946;34042A200
25;99752;74137;170534;34013A401
31;94692;70672;165052;34022A800
78;94708;72478;170629;34022A612
1;81501;67866;165733;34027B0QN
28;108482;65810;168463;34041A201
17;94905;72621;168496;34022A30-
6;94761;73499;169633;34022A12-
370;94216;69054;173543;34022B492
105;81735;66668;161528;34027C112
5;94230;69790;170422;34022B043
139;105574;78967;166395;34042A30-
37;108781;65797;167588;34041A222
41;98245;73327;171104;34023A314
80;81619;67095;165271;34027B10-
122;81536;65738;165253;34027B0RN
41;108542;66742;167289;34041A001
84;108764;64429;166581;34041A101
8;112301;80406;158499;34043B00-
44;93417;70713;174315;34025A100
26;98313;74346;172594;34023A032
30;108458;68014;171206;34041B000
17;95007;71439;169580;34022A51-
10;94847;71861;169064;34022A021
29;108605;69071;171475;34041B111
51;97067;69229;165902;34022D03-
22;106306;83375;175594;34040A40-
66;98247;72751;172430;34023A20-
12;104923;81166;162900;34042D00-
83;99816;76475;171969;34013A101
8;106617;78225;174633;34040B02-
176;99757;75465;170351;34013A30-
15;105538;77637;167207;34042A021
1;103680;79048;172504;34009A033
206;99824;74481;171206;34013A010
81;103771;78369;171432;34009A022
5;94998;72111;168890;34022A021
3;113071;85147;163403;34003A00-
5;95010;71886;169111;34022A021
9;95055;74136;169081;34022A111
50;106439;82969;176551;34040A422
52;113043;85615;163752;34003A011
16;94152;69457;169330;34022C1AN
29;106359;82135;173326;34040A10-
6;112274;78519;158264;34043A09-
10;110425;86855;166955;34002D00-
10;99932;75949;173093;34013A052
43;110598;85239;169647;34002A091
24;81440;67253;165081;34027B10-
38;99901;76053;172459;34013A101
1;108783;66320;168271;34041A311
43;81460;61827;166161;34027A04-
56;94704;71271;169675;34022A51-
121;108477;65041;169892;34041C042
39;99922;76019;172615;34013A001
11;94636;72687;167973;34022A32-
4;110672;84932;169659;34002A091
1;108553;68215;171129;34041B000
170;108661;65386;166750;34041A124
29;95158;72370;170219;34022A601
65;95085;71436;167239;34022A41-
20;106308;81274;174866;34040A491
8;81551;61917;167043;34027A301
76;113088;84279;163694;34003A04-
92;81717;62363;165843;34027A00-
18;103697;80456;170849;34009A100
251;94226;70952;170164;34022B111
6;94195;70112;170877;34022B001
13;99899;74305;170389;34013A401
71;108578;68991;171359;34041B111
45;81408;60799;166124;34027A233
8;108608;68655;170335;34041B0AN
4;106618;77639;174022;34040B000
227;81599;62786;166009;34027A411
173;99812;76114;173193;34013A032
21;97120;69495;167408;34022D0MN
15;105443;83497;166734;34042B00-
79;81714;62727;164802;34027A132
8;105637;76786;165210;34042A091
5;99783;75013;171387;34013A010
32;109852;88416;168268;34002C091
3;110695;87200;169642;34002A001
1;97140;74013;163394;34022G032
36;94976;74094;168795;34022A252
19;108591;66247;168790;34041A311
28;94687;72085;168963;34022A021
65;106396;85117;174282;34040A02-
7;94971;72900;167686;34022A32-
194;94993;72879;168237;34022A30-
15;105904;81879;165926;34042C091
227;108764;65198;167053;34041A124
6;93382;72173;176353;34025A292
29;105969;82650;177909;34040D0AP
159;94835;72566;168057;34022A30-
41;98366;73561;171575;34023A053
82;106600;78831;174147;34040B10-
17;110458;85354;166432;34002D08-
43;94919;73962;168077;34022A232
15;81487;61625;167027;34027A301
1;104972;80720;161905;34042D091
153;94627;73433;168448;34022A243
31;95083;71280;169741;34022A51-
8;94777;74294;168467;34022A252
105;81726;62622;166858;34027A421
169;106430;86055;177068;34040A291
74;108480;66315;168204;34041A040
185;94284;70230;170164;34022B201
63;98225;73699;172311;34023A053
4;97139;70091;166369;34022D021
332;108661;64809;166585;34041A132
84;81715;62343;165535;34027A021
13;106427;84666;176222;34040A212
22;106562;84992;174564;34040A02-
28;94958;73640;169062;34022A111
95;99884;77417;172600;34013A091
4;103759;78641;172039;34009A001
46;110702;82352;170733;34002F193
5;112915;83823;161340;34003D00-
25;105718;78390;175720;34040C001
26;104958;80588;163569;34042D081
36;103688;77658;171522;34009A022
42;108617;64972;169926;34041C042
187;106430;86412;177456;34040A291
38;94281;71277;170674;34022B122
64;108496;67711;171134;34041B000
48;81695;62330;165689;34027A00-
4;97068;70909;166199;34022D121
6;98325;73788;172641;34023A021
48;108523;67931;169849;34041B02-
48;106555;83037;174701;34040A313
138;95134;72504;167412;34022A33-
72;94895;72165;170274;34022A601
13;95083;71299;169706;34022A51-
425;108661;64513;166464;34041A101
2;104932;81465;162376;34042D00-
143;103592;80338;171113;34009A100
28;110452;87524;166853;34002D00-
13;105518;77112;166728;34042A031
1;94754;72758;168593;34022A30-
3;106595;77709;174269;34040B02-
102;113051;83975;163735;34003A09-
33;94947;72765;168886;34022A04-
18;98405;71823;172500;34023A370
4;94616;72208;170238;34022A601
6;94326;70810;171929;34022B071
29;103632;77594;171535;34009A022
23;94258;71037;170546;34022B111
47;98263;73005;173432;34023A222
68;81648;65871;161779;34027C101
14;95051;71976;170074;34022A521
14;113044;85152;164489;34003A09-
13;99780;75360;170300;34013A30-
64;104980;80953;162884;34042D00-
46;103673;79684;170477;34009A19-
4;99907;74319;170451;34013A401
109;99786;75365;171817;34013A043
24;81678;62464;165843;34027A021
6;81470;62370;165710;34027A021
168;81542;62372;165145;34027A11-
22;103628;78877;171450;34009A022
115;94246;70264;169229;34022C001
17;105665;79579;175970;34040C022
12;112295;78518;156705;34043A09-
82;106389;84115;176191;34040A001
54;94890;73492;169112;34022A111
55;105412;82834;166906;34042B00-
79;105506;76140;165245;34042A222
39;103657;78839;172028;34009A001
45;93399;69677;175317;34025A053
11;94249;69135;169145;34022C1AN
5;94986;74922;167495;34022A904
70;113043;85669;163663;34003A011
9;94762;72980;169315;34022A101
4;106093;78351;162392;34042E091
1;110693;80672;169493;34002F02-
1;95080;73884;169319;34022A111
9;99902;75180;172769;34013A021
2;106643;77993;174276;34040B000
119;106408;83179;175622;34040A40-
12;104947;80113;164432;34042D081
9;97069;73057;163186;34022G043
9;95113;71820;169587;34022A50-
198;94244;70631;169658;34022B201
41;106541;86107;176036;34040A291
39;94898;71888;169724;34022A50-
98;94972;72270;170312;34022A601
16;94184;68967;173186;34022B080
99;81560;62586;165002;34027A132
16;108665;68173;171224;34041B000
24;94140;70854;170583;34022B111
